"","V1","V2"
"2101","AfN3Z1U6QPEgAb5F2CQm8w",NA
"2102","iB9By3dVS6BydSUiDHxLyw",NA
"2103","O1ird5yRyuDFnOmYu90OoA",NA
"2104","zunMkZ4U2eVojempQtLngg",NA
"2105","mDR12Hafvr84ctpsV6YLag",NA
"2106","HGNOaHmKpW1ajuAVCpA1yg",NA
"2107","dQrDogW_V4fB83vTTAP5eA",NA
"2108","VBoyqq5lO_H-EJO6MTwIPA",NA
"2109","6TvB1PZCY1Ap2S-yNJPs4w",NA
"2110","P7pxQFqr7yBKMMI2J51udw",NA
"2111","9njwmO6YzhaQB3-htNMFYQ",NA
"2112","PQicuLOZ3uNJKn4PtayjlQ",NA
"2113","HGNOaHmKpW1ajuAVCpA1yg",NA
"2114","P7pxQFqr7yBKMMI2J51udw",NA
"2115","RtnTbhWYw4QjKhoTBV37OA",NA
"2116","ibf4xvHWD4t1DOOZhidHBg",NA
"2117","P7pxQFqr7yBKMMI2J51udw",NA
"2118","2iTsRqUsPGRH1li1WVRvKQ",NA
"2119","VxRlBe2wjtycFWSZm1orTA",NA
"2120","P7pxQFqr7yBKMMI2J51udw",NA
"2121","Trbt0Ex85yvwT8DHoEFCvg",NA
"2122","2Wl4o7l54I-EtxtaDpOTzA",NA
"2123","uMZxxZrbM441LnnfqR1WOQ",NA
"2124","Dv0OHpQSL4hOGl2KAEVvlA",NA
"2125","HPfcEJh3ivdX_QehRKZYrA",NA
"2126","mDR12Hafvr84ctpsV6YLag",NA
"2127","AfN3Z1U6QPEgAb5F2CQm8w",NA
"2128","2iTsRqUsPGRH1li1WVRvKQ",NA
"2129","RNO7SRmfVi0CyXjtPhXELg",NA
"2130","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2131","mlCDsdVFuZvRGrJTfQ6amw",NA
"2132","2c9Vptks_vowLgVUMnCgjw",NA
"2133","mDR12Hafvr84ctpsV6YLag",NA
"2134","mDR12Hafvr84ctpsV6YLag",NA
"2135","DYuOxkW4DtlJsTHdxdXSlg",NA
"2136","S_bG5WWbtNXhhY9Y0GTcSg",NA
"2137","KeI955jJ81rY2WyaC4lq2w",NA
"2138","zazLy5wo73tr5y9Oxjx36g",NA
"2139","npWIa3dIPEV1MTaZNq6AUA",NA
"2140","HGNOaHmKpW1ajuAVCpA1yg",NA
"2141","mDR12Hafvr84ctpsV6YLag",NA
"2142","9njwmO6YzhaQB3-htNMFYQ",NA
"2143","P7pxQFqr7yBKMMI2J51udw",NA
"2144","Trbt0Ex85yvwT8DHoEFCvg",NA
"2145","82I9SSilxh3zL8F1UQ45Xw",NA
"2146","fMtJHpD-l0GGFKr5xnbWnQ",NA
"2147","OY0-hYJ2q6WiAqhYnCZZ0w",NA
"2148","k9rR23TeanYDFEdqUK9Hjw",NA
"2149","82I9SSilxh3zL8F1UQ45Xw",NA
"2150","VxRlBe2wjtycFWSZm1orTA",NA
"2151","z2Yivr-C0K0H2sLNXvnZyg",NA
"2152","iUHz8jIWjkbx6pXsTUNIaw",NA
"2153","P7pxQFqr7yBKMMI2J51udw",NA
"2154","w_UCGMgok7N9p0XdYBx1VQ",NA
"2155","OY0-hYJ2q6WiAqhYnCZZ0w",NA
"2156","6TvB1PZCY1Ap2S-yNJPs4w",NA
"2157","Bx7SDDMr5Y278PFIy0nsmQ",NA
"2158","NwVj3tbEcR2F8fbrcOEV0Q",NA
"2159","w_UCGMgok7N9p0XdYBx1VQ",NA
"2160","m8Cbph-0tlMaYyXDwvKc3A",NA
"2161","oFHvr1cAktvU-bQgrl4aPw",NA
"2162","oFHvr1cAktvU-bQgrl4aPw",NA
"2163","mJ_ucQ2_3hfTsmCcKb-hgw",NA
"2164","bWucOPNoIjd8ECdiDyVq9Q",NA
"2165","b_XIKJ2nNzksuWhfMTEehQ",NA
"2166","o9IvrLWtTt5lCYqO-uiJLg",NA
"2167","bWucOPNoIjd8ECdiDyVq9Q",NA
"2168","6zi7dAlnk7vgvlGbUMoKkA",NA
"2169","AFgPDQm_pczo5uV3yQBgwg",NA
"2170","-6tvduBzjLI1ISfs3F_qTg",NA
"2171","GETVAz5SCk8rFziexV54Aw",NA
"2172","2iTsRqUsPGRH1li1WVRvKQ",NA
"2173","Bx7SDDMr5Y278PFIy0nsmQ",NA
"2174","G6BwYw_0_atLPTzI1uokIA",NA
"2175","w_UCGMgok7N9p0XdYBx1VQ",NA
"2176","-6tvduBzjLI1ISfs3F_qTg",NA
"2177","kY2Uh2-CHgLff9rZZWuGDA",NA
"2178","2iTsRqUsPGRH1li1WVRvKQ",NA
"2179","mDR12Hafvr84ctpsV6YLag",NA
"2180","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2181","82I9SSilxh3zL8F1UQ45Xw",NA
"2182","dQrDogW_V4fB83vTTAP5eA",NA
"2183","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2184","npWIa3dIPEV1MTaZNq6AUA",NA
"2185","2VRVAhzefxIqjzbQ21LdHg",NA
"2186","u1m3qTIrhZhwNjMT6n-M8g",NA
"2187","Err-UlwpMFaCIQ4mAVxmzQ",NA
"2188","P7pxQFqr7yBKMMI2J51udw",NA
"2189","LkfdCPTWU4BNWWpou60Lww",NA
"2190","NwVj3tbEcR2F8fbrcOEV0Q",NA
"2191","z2Yivr-C0K0H2sLNXvnZyg",NA
"2192","2c9Vptks_vowLgVUMnCgjw",NA
"2193","_9Oh4NYx5Yjd4tG2_HWQww",NA
"2194","mlCDsdVFuZvRGrJTfQ6amw",NA
"2195","TZ6kp9DtD3NCP4LQnofXug",NA
"2196","OY0-hYJ2q6WiAqhYnCZZ0w",NA
"2197","2iTsRqUsPGRH1li1WVRvKQ",NA
"2198","2iTsRqUsPGRH1li1WVRvKQ",NA
"2199","FogTa-wmjhVnJCoTiaxvZA",NA
"2200","9njwmO6YzhaQB3-htNMFYQ",NA
"2201","UJb1PrUWDFfuzwUPc1pP4Q",NA
"2202","uMZxxZrbM441LnnfqR1WOQ",NA
"2203","AfN3Z1U6QPEgAb5F2CQm8w",NA
"2204","sMzNLdhJZGzYirIWt-fMAg",NA
"2205","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2206","npWIa3dIPEV1MTaZNq6AUA",NA
"2207","6TvB1PZCY1Ap2S-yNJPs4w",NA
"2208","z2Yivr-C0K0H2sLNXvnZyg",NA
"2209","2iTsRqUsPGRH1li1WVRvKQ",NA
"2210","nrq5H3LZicjMG0wv7gy08g",NA
"2211","DjvpsmdtEvnyMk2vXxpc-w",NA
"2212","sMzNLdhJZGzYirIWt-fMAg",NA
"2213","YbOhR475lR0xsNJjoAmMXQ",NA
"2214","HPfcEJh3ivdX_QehRKZYrA",NA
"2215","P7pxQFqr7yBKMMI2J51udw",NA
"2216","74gDxr6rs_8tUTcS1vkr0Q",NA
"2217","PQicuLOZ3uNJKn4PtayjlQ",NA
"2218","9njwmO6YzhaQB3-htNMFYQ",NA
"2219","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2220","Rx85NUdD6MhrgKxHr05NlQ",NA
"2221","sMzNLdhJZGzYirIWt-fMAg",NA
"2222","P7pxQFqr7yBKMMI2J51udw",NA
"2223","o9IvrLWtTt5lCYqO-uiJLg",NA
"2224","sMzNLdhJZGzYirIWt-fMAg",NA
"2225","2c9Vptks_vowLgVUMnCgjw",NA
"2226","P7pxQFqr7yBKMMI2J51udw",NA
"2227","mDR12Hafvr84ctpsV6YLag",NA
"2228","d482l58ho0_IMdFkXX1F5Q",NA
"2229","Trbt0Ex85yvwT8DHoEFCvg",NA
"2230","NwVj3tbEcR2F8fbrcOEV0Q",NA
"2231","ibf4xvHWD4t1DOOZhidHBg",NA
"2232","9njwmO6YzhaQB3-htNMFYQ",NA
"2233","2VRVAhzefxIqjzbQ21LdHg",NA
"2234","zU63bs3Ofe8y1peOgOFJaA",NA
"2235","2iTsRqUsPGRH1li1WVRvKQ",NA
"2236","o9IvrLWtTt5lCYqO-uiJLg",NA
"2237","npWIa3dIPEV1MTaZNq6AUA",NA
"2238","OY0-hYJ2q6WiAqhYnCZZ0w",NA
"2239","sMzNLdhJZGzYirIWt-fMAg",NA
"2240","UotZUkpcI0p2J8RUAD36Ng",NA
"2241","-6tvduBzjLI1ISfs3F_qTg",NA
"2242","dQrDogW_V4fB83vTTAP5eA",NA
"2243","k9rR23TeanYDFEdqUK9Hjw",NA
"2244","9njwmO6YzhaQB3-htNMFYQ",NA
"2245","Trbt0Ex85yvwT8DHoEFCvg",NA
"2246","FogTa-wmjhVnJCoTiaxvZA",NA
"2247","DjvpsmdtEvnyMk2vXxpc-w",NA
"2248","UJb1PrUWDFfuzwUPc1pP4Q",NA
"2249","JzB7NITHQ7gVHGVZ1ntgIQ",NA
"2250","P7pxQFqr7yBKMMI2J51udw",NA
"2251","WPUf-Eo6PHxDNqPygahiUA",NA
"2252","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2253","Do72DKBclgkSPt6jZ9-c4Q",NA
"2254","NwVj3tbEcR2F8fbrcOEV0Q",NA
"2255","sMzNLdhJZGzYirIWt-fMAg",NA
"2256","y4ETe3DkcIjjr_eyeg5U5g",NA
"2257","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2258","O1ird5yRyuDFnOmYu90OoA",NA
"2259","w_UCGMgok7N9p0XdYBx1VQ",NA
"2260","O1ird5yRyuDFnOmYu90OoA",NA
"2261","-6tvduBzjLI1ISfs3F_qTg",NA
"2262","9njwmO6YzhaQB3-htNMFYQ",NA
"2263","oFHvr1cAktvU-bQgrl4aPw",NA
"2264","P7pxQFqr7yBKMMI2J51udw",NA
"2265","UotZUkpcI0p2J8RUAD36Ng",NA
"2266","P7pxQFqr7yBKMMI2J51udw",NA
"2267","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2268","je5h9jV38Wpist76omY_Pw",NA
"2269","P7pxQFqr7yBKMMI2J51udw",NA
"2270","ApHiz1xxENwjkp8MKrE4Dg",NA
"2271","2iTsRqUsPGRH1li1WVRvKQ",NA
"2272","YbOhR475lR0xsNJjoAmMXQ",NA
"2273","OY0-hYJ2q6WiAqhYnCZZ0w",NA
"2274","Dv0OHpQSL4hOGl2KAEVvlA",NA
"2275","FogTa-wmjhVnJCoTiaxvZA",NA
"2276","Fr5R5w74Xg7sKMlt4PPtHg",NA
"2277","UJb1PrUWDFfuzwUPc1pP4Q",NA
"2278","FN-5HISn0yi5GTM83Uy59g",NA
"2279","P7pxQFqr7yBKMMI2J51udw",NA
"2280","P7pxQFqr7yBKMMI2J51udw",NA
"2281","mDR12Hafvr84ctpsV6YLag",NA
"2282","P7pxQFqr7yBKMMI2J51udw",NA
"2283","6zi7dAlnk7vgvlGbUMoKkA",NA
"2284","UJb1PrUWDFfuzwUPc1pP4Q",NA
"2285","OY0-hYJ2q6WiAqhYnCZZ0w",NA
"2286","P7pxQFqr7yBKMMI2J51udw",NA
"2287","iB9By3dVS6BydSUiDHxLyw",NA
"2288","mDR12Hafvr84ctpsV6YLag",NA
"2289","iB9By3dVS6BydSUiDHxLyw",NA
"2290","DjvpsmdtEvnyMk2vXxpc-w",NA
"2291","DYuOxkW4DtlJsTHdxdXSlg",NA
"2292","9njwmO6YzhaQB3-htNMFYQ",NA
"2293","AfN3Z1U6QPEgAb5F2CQm8w",NA
"2294","mlCDsdVFuZvRGrJTfQ6amw",NA
"2295","2c9Vptks_vowLgVUMnCgjw",NA
"2296","fMtJHpD-l0GGFKr5xnbWnQ",NA
"2297","ApHiz1xxENwjkp8MKrE4Dg",NA
"2298","zYb4kj2R54R2YPeNm829BA",NA
"2299","G6BwYw_0_atLPTzI1uokIA",NA
"2300","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2301","mDR12Hafvr84ctpsV6YLag",NA
"2302","Trbt0Ex85yvwT8DHoEFCvg",NA
"2303","0ZZIqTdEb7yUa13QZLKuGQ",NA
"2304","2iTsRqUsPGRH1li1WVRvKQ",NA
"2305","P7pxQFqr7yBKMMI2J51udw",NA
"2306","P7pxQFqr7yBKMMI2J51udw",NA
"2307","P7pxQFqr7yBKMMI2J51udw",NA
"2308","P7pxQFqr7yBKMMI2J51udw",NA
"2309","UJb1PrUWDFfuzwUPc1pP4Q",NA
"2310","O3zVw-VAcJi8ta4B6v5iAA",NA
"2311","1x8_aJQ-iqvymhRK3SNbLg",NA
"2312","iB9By3dVS6BydSUiDHxLyw",NA
"2313","eFwpKQB9EQtblKx65FuXLw",NA
"2314","P7pxQFqr7yBKMMI2J51udw",NA
"2315","sMzNLdhJZGzYirIWt-fMAg",NA
"2316","2iTsRqUsPGRH1li1WVRvKQ",NA
"2317","l0aaLW6ZdDXWjUegUECSxg",NA
"2318","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2319","NwWYSYGHFyHQMmsXu0SiYA",NA
"2320","y4ETe3DkcIjjr_eyeg5U5g",NA
"2321","nkDSE-yhvLX4ij5fSzvb5Q",NA
"2322","P7pxQFqr7yBKMMI2J51udw",NA
"2323","P7pxQFqr7yBKMMI2J51udw",NA
"2324","P7pxQFqr7yBKMMI2J51udw",NA
"2325","iB9By3dVS6BydSUiDHxLyw",NA
"2326","P7pxQFqr7yBKMMI2J51udw",NA
"2327","-6tvduBzjLI1ISfs3F_qTg",NA
"2328","-6tvduBzjLI1ISfs3F_qTg",NA
"2329","y4ETe3DkcIjjr_eyeg5U5g",NA
"2330","P7pxQFqr7yBKMMI2J51udw",NA
"2331","mDR12Hafvr84ctpsV6YLag",NA
"2332","Trbt0Ex85yvwT8DHoEFCvg",NA
"2333","G6BwYw_0_atLPTzI1uokIA",NA
"2334","y4ETe3DkcIjjr_eyeg5U5g",NA
"2335","y4ETe3DkcIjjr_eyeg5U5g",NA
"2336","d482l58ho0_IMdFkXX1F5Q",NA
"2337","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2338","AfN3Z1U6QPEgAb5F2CQm8w",NA
"2339","P7pxQFqr7yBKMMI2J51udw",NA
"2340","P7pxQFqr7yBKMMI2J51udw",NA
"2341","Trbt0Ex85yvwT8DHoEFCvg",NA
"2342","9njwmO6YzhaQB3-htNMFYQ",NA
"2343","zK7sltLeRRioqYwgLiWUIA",NA
"2344","2c9Vptks_vowLgVUMnCgjw",NA
"2345","UotZUkpcI0p2J8RUAD36Ng",NA
"2346","zYb4kj2R54R2YPeNm829BA",NA
"2347","NwVj3tbEcR2F8fbrcOEV0Q",NA
"2348","AfN3Z1U6QPEgAb5F2CQm8w",NA
"2349","oQKOijnFplXhmobb9Qf2gQ",NA
"2350","VZQPYoK6l_vo5jwYgabJdQ",NA
"2351","zU63bs3Ofe8y1peOgOFJaA",NA
"2352","P7pxQFqr7yBKMMI2J51udw",NA
"2353","mDR12Hafvr84ctpsV6YLag",NA
"2354","8PBq-MHyLDrhkaTf72Foww",NA
"2355","JRo3APL5f4-TEkuI-SoDcA",NA
"2356","mJ_ucQ2_3hfTsmCcKb-hgw",NA
"2357","y4ETe3DkcIjjr_eyeg5U5g",NA
"2358","y4ETe3DkcIjjr_eyeg5U5g",NA
"2359","AfN3Z1U6QPEgAb5F2CQm8w",NA
"2360","3akSOcI-uzHOwGQeZD3NHg",NA
"2361","zYb4kj2R54R2YPeNm829BA",NA
"2362","LkfdCPTWU4BNWWpou60Lww",NA
"2363","P7pxQFqr7yBKMMI2J51udw",NA
"2364","-6tvduBzjLI1ISfs3F_qTg",NA
"2365","2iTsRqUsPGRH1li1WVRvKQ",NA
"2366","o9IvrLWtTt5lCYqO-uiJLg",NA
"2367","zK7sltLeRRioqYwgLiWUIA",NA
"2368","8PBq-MHyLDrhkaTf72Foww",NA
"2369","A4kCvILTgfr_2cG0_yGNiw",NA
"2370","9njwmO6YzhaQB3-htNMFYQ",NA
"2371","Do72DKBclgkSPt6jZ9-c4Q",NA
"2372","X5oaz9_MVz-1ng83HuI4ZQ",NA
"2373","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2374","mlCDsdVFuZvRGrJTfQ6amw",NA
"2375","VxRlBe2wjtycFWSZm1orTA",NA
"2376","M4RwZL5bTBTwwbVcoaDbtw",NA
"2377","zYb4kj2R54R2YPeNm829BA",NA
"2378","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2379","2iTsRqUsPGRH1li1WVRvKQ",NA
"2380","74gDxr6rs_8tUTcS1vkr0Q",NA
"2381","UsJYr7l0fOaQZG223BbpeA",NA
"2382","CKoDbOpF_CSyy6_lttqjKg",NA
"2383","DjvpsmdtEvnyMk2vXxpc-w",NA
"2384","9Rs7n2LbINBN8kLbScjhmA",NA
"2385","_qA2HPqgLiBc-M4wRyml0g",NA
"2386","2VRVAhzefxIqjzbQ21LdHg",NA
"2387","FogTa-wmjhVnJCoTiaxvZA",NA
"2388","DYuOxkW4DtlJsTHdxdXSlg",NA
"2389","P7pxQFqr7yBKMMI2J51udw",NA
"2390","-6tvduBzjLI1ISfs3F_qTg",NA
"2391","y4ETe3DkcIjjr_eyeg5U5g",NA
"2392","AfN3Z1U6QPEgAb5F2CQm8w",NA
"2393","9Rs7n2LbINBN8kLbScjhmA",NA
"2394","ApHiz1xxENwjkp8MKrE4Dg",NA
"2395","VxRlBe2wjtycFWSZm1orTA",NA
"2396","m8Cbph-0tlMaYyXDwvKc3A",NA
"2397","mDR12Hafvr84ctpsV6YLag",NA
"2398","Trbt0Ex85yvwT8DHoEFCvg",NA
"2399","P7pxQFqr7yBKMMI2J51udw",NA
"2400","sMzNLdhJZGzYirIWt-fMAg",NA
"2401","82I9SSilxh3zL8F1UQ45Xw",NA
"2402","UJb1PrUWDFfuzwUPc1pP4Q",NA
"2403","-6tvduBzjLI1ISfs3F_qTg",NA
"2404","74gDxr6rs_8tUTcS1vkr0Q",NA
"2405","npWIa3dIPEV1MTaZNq6AUA",NA
"2406","2c9Vptks_vowLgVUMnCgjw",NA
"2407","p8qk36_xEXhICe91tfUpPA",NA
"2408","mDR12Hafvr84ctpsV6YLag",NA
"2409","gU8H-yYJEByT7b8ZvHs16g",NA
"2410","9Rs7n2LbINBN8kLbScjhmA",NA
"2411","JKDuPY9hPajOVQZpKPCzpA",NA
"2412","Bx7SDDMr5Y278PFIy0nsmQ",NA
"2413","oFHvr1cAktvU-bQgrl4aPw",NA
"2414","I1qRb4qqQRly7NhIOCkk_Q",NA
"2415","82I9SSilxh3zL8F1UQ45Xw",NA
"2416","P7pxQFqr7yBKMMI2J51udw",NA
"2417","1x8_aJQ-iqvymhRK3SNbLg",NA
"2418","bWucOPNoIjd8ECdiDyVq9Q",NA
"2419","zw9_mqWBn1QCfZg88w0Exg",NA
"2420","I1qRb4qqQRly7NhIOCkk_Q",NA
"2421","w_UCGMgok7N9p0XdYBx1VQ",NA
"2422","u632XAPn08Rot9Ru9BoFNA",NA
"2423","zw9_mqWBn1QCfZg88w0Exg",NA
"2424","5nWfU-qheLL-JzwYgHe_cQ",NA
"2425","yCK1Ok69D7TSWJESZQZHiQ",NA
"2426","mDR12Hafvr84ctpsV6YLag",NA
"2427","6zi7dAlnk7vgvlGbUMoKkA",NA
"2428","mDR12Hafvr84ctpsV6YLag",NA
"2429","PbTh7aX0_yyaXFOXAlhI4A",NA
"2430","G6BwYw_0_atLPTzI1uokIA",NA
"2431","_qA2HPqgLiBc-M4wRyml0g",NA
"2432","Trbt0Ex85yvwT8DHoEFCvg",NA
"2433","p8qk36_xEXhICe91tfUpPA",NA
"2434","82I9SSilxh3zL8F1UQ45Xw",NA
"2435","dQrDogW_V4fB83vTTAP5eA",NA
"2436","2iTsRqUsPGRH1li1WVRvKQ",NA
"2437","avKtXuzalCP_cVfrk-fLeQ",NA
"2438","P7pxQFqr7yBKMMI2J51udw",NA
"2439","I1qRb4qqQRly7NhIOCkk_Q",NA
"2440","P7pxQFqr7yBKMMI2J51udw",NA
"2441","FogTa-wmjhVnJCoTiaxvZA",NA
"2442","Fr5R5w74Xg7sKMlt4PPtHg",NA
"2443","oFHvr1cAktvU-bQgrl4aPw",NA
"2444","9Rs7n2LbINBN8kLbScjhmA",NA
"2445","X5oaz9_MVz-1ng83HuI4ZQ",NA
"2446","ZYu7RwqxTpmPKTsebfXLAA",NA
"2447","2iTsRqUsPGRH1li1WVRvKQ",NA
"2448","P7pxQFqr7yBKMMI2J51udw",NA
"2449","A4kCvILTgfr_2cG0_yGNiw",NA
"2450","zK7sltLeRRioqYwgLiWUIA",NA
"2451","s1FNMwBVBmC7mLfYy77e8g",NA
"2452","2iTsRqUsPGRH1li1WVRvKQ",NA
"2453","sZq-qUvoLgYxlDmIcxYWDg",NA
"2454","zw9_mqWBn1QCfZg88w0Exg",NA
"2455","AfN3Z1U6QPEgAb5F2CQm8w",NA
"2456","b_XIKJ2nNzksuWhfMTEehQ",NA
"2457","y1esDY2vFyaTMf1YlRT7ZA",NA
"2458","pkeIqsI-y7OGLE1a6Yxkgg",NA
"2459","P7pxQFqr7yBKMMI2J51udw",NA
"2460","UJb1PrUWDFfuzwUPc1pP4Q",NA
"2461","mlCDsdVFuZvRGrJTfQ6amw",NA
"2462","VZQPYoK6l_vo5jwYgabJdQ",NA
"2463","6zi7dAlnk7vgvlGbUMoKkA",NA
"2464","ApHiz1xxENwjkp8MKrE4Dg",NA
"2465","2iTsRqUsPGRH1li1WVRvKQ",NA
"2466","P7pxQFqr7yBKMMI2J51udw",NA
"2467","2iTsRqUsPGRH1li1WVRvKQ",NA
"2468","9njwmO6YzhaQB3-htNMFYQ",NA
"2469","mDR12Hafvr84ctpsV6YLag",NA
"2470","UJ3mHW1l6oLV-Ic2I7Vjrw",NA
"2471","JAEGnGjqphWGoyuCN-hNQQ",NA
"2472","P7pxQFqr7yBKMMI2J51udw",NA
"2473","mNsjRWm99TFmssgKJX_kyg",NA
"2474","6zi7dAlnk7vgvlGbUMoKkA",NA
"2475","P7pxQFqr7yBKMMI2J51udw",NA
"2476","y4ETe3DkcIjjr_eyeg5U5g",NA
"2477","mDR12Hafvr84ctpsV6YLag",NA
"2478","mDR12Hafvr84ctpsV6YLag",NA
"2479","2iTsRqUsPGRH1li1WVRvKQ",NA
"2480","oFHvr1cAktvU-bQgrl4aPw",NA
"2481","DjvpsmdtEvnyMk2vXxpc-w",NA
"2482","Trbt0Ex85yvwT8DHoEFCvg",NA
"2483","NCc227GObIORVxUXs-KWvw",NA
"2484","z2Yivr-C0K0H2sLNXvnZyg",NA
"2485","ffUMyqLvDLcsed5p_7wy5A",NA
"2486","P7pxQFqr7yBKMMI2J51udw",NA
"2487","CKoDbOpF_CSyy6_lttqjKg",NA
"2488","P7pxQFqr7yBKMMI2J51udw",NA
"2489","vna49NPM-7B11tcFPTgnsg",NA
"2490","OY0-hYJ2q6WiAqhYnCZZ0w",NA
"2491","j7MAcrMGsiRCrFLLQH-XEQ",NA
"2492","AjaLaFQLMRLnPetDFQN1eQ",NA
"2493","2iTsRqUsPGRH1li1WVRvKQ",NA
"2494","bWucOPNoIjd8ECdiDyVq9Q",NA
"2495","DYuOxkW4DtlJsTHdxdXSlg",NA
"2496","P7pxQFqr7yBKMMI2J51udw",NA
"2497","mDR12Hafvr84ctpsV6YLag",NA
"2498","P7pxQFqr7yBKMMI2J51udw",NA
"2499","UDiMCb4LKowlozI5mhtO_A",NA
"2500","OY0-hYJ2q6WiAqhYnCZZ0w",NA
"2501","k9rR23TeanYDFEdqUK9Hjw",NA
"2502","mDR12Hafvr84ctpsV6YLag",NA
"2503","2iTsRqUsPGRH1li1WVRvKQ",NA
"2504","1M_EjuTA1qM7lNDchPjLpQ",NA
"2505","DYuOxkW4DtlJsTHdxdXSlg",NA
"2506","zw9_mqWBn1QCfZg88w0Exg",NA
"2507","Trbt0Ex85yvwT8DHoEFCvg",NA
"2508","A4kCvILTgfr_2cG0_yGNiw",NA
"2509","Trbt0Ex85yvwT8DHoEFCvg",NA
"2510","GETVAz5SCk8rFziexV54Aw",NA
"2511","P7pxQFqr7yBKMMI2J51udw",NA
"2512","P7pxQFqr7yBKMMI2J51udw",NA
"2513","zK7sltLeRRioqYwgLiWUIA",NA
"2514","sMzNLdhJZGzYirIWt-fMAg",NA
"2515","GETVAz5SCk8rFziexV54Aw",NA
"2516","UJb1PrUWDFfuzwUPc1pP4Q",NA
"2517","mDR12Hafvr84ctpsV6YLag",NA
"2518","mlCDsdVFuZvRGrJTfQ6amw",NA
"2519","2iTsRqUsPGRH1li1WVRvKQ",NA
"2520","mDR12Hafvr84ctpsV6YLag",NA
"2521","L3ysePkSGjp11VIcmA3A-Q",NA
"2522","HGNOaHmKpW1ajuAVCpA1yg",NA
"2523","P7pxQFqr7yBKMMI2J51udw",NA
"2524","3fs1mnE8iZJGgpezaFHaIg",NA
"2525","G6BwYw_0_atLPTzI1uokIA",NA
"2526","Trbt0Ex85yvwT8DHoEFCvg",NA
"2527","GETVAz5SCk8rFziexV54Aw",NA
"2528","Gt-T8XbgbvFw5KeLpmnSLg",NA
"2529","74gDxr6rs_8tUTcS1vkr0Q",NA
"2530","NhUUOdvvw_-VAvxdO4VhfA",NA
"2531","O1ird5yRyuDFnOmYu90OoA",NA
"2532","mDR12Hafvr84ctpsV6YLag",NA
"2533","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2534","HCCg-rVnHQ2FI6lHs_LvUQ",NA
"2535","VxRlBe2wjtycFWSZm1orTA",NA
"2536","P7pxQFqr7yBKMMI2J51udw",NA
"2537","zw9_mqWBn1QCfZg88w0Exg",NA
"2538","ibf4xvHWD4t1DOOZhidHBg",NA
"2539","RNO7SRmfVi0CyXjtPhXELg",NA
"2540","AfN3Z1U6QPEgAb5F2CQm8w",NA
"2541","Trbt0Ex85yvwT8DHoEFCvg",NA
"2542","o9IvrLWtTt5lCYqO-uiJLg",NA
"2543","RtnTbhWYw4QjKhoTBV37OA",NA
"2544","P7pxQFqr7yBKMMI2J51udw",NA
"2545","mlCDsdVFuZvRGrJTfQ6amw",NA
"2546","P7pxQFqr7yBKMMI2J51udw",NA
"2547","Trbt0Ex85yvwT8DHoEFCvg",NA
"2548","RtnTbhWYw4QjKhoTBV37OA",NA
"2549","dQrDogW_V4fB83vTTAP5eA",NA
"2550","mDR12Hafvr84ctpsV6YLag",NA
"2551","oFHvr1cAktvU-bQgrl4aPw",NA
"2552","PbTh7aX0_yyaXFOXAlhI4A",NA
"2553","2iTsRqUsPGRH1li1WVRvKQ",NA
"2554","VBoyqq5lO_H-EJO6MTwIPA",NA
"2555","Bx7SDDMr5Y278PFIy0nsmQ",NA
"2556","2iTsRqUsPGRH1li1WVRvKQ",NA
"2557","gU8H-yYJEByT7b8ZvHs16g",NA
"2558","u1m3qTIrhZhwNjMT6n-M8g",NA
"2559","NwVj3tbEcR2F8fbrcOEV0Q",NA
"2560","zw9_mqWBn1QCfZg88w0Exg",NA
"2561","9njwmO6YzhaQB3-htNMFYQ",NA
"2562","ApHiz1xxENwjkp8MKrE4Dg",NA
"2563","P7pxQFqr7yBKMMI2J51udw",NA
"2564","OY0-hYJ2q6WiAqhYnCZZ0w",NA
"2565","UotZUkpcI0p2J8RUAD36Ng",NA
"2566","oFHvr1cAktvU-bQgrl4aPw",NA
"2567","P7pxQFqr7yBKMMI2J51udw",NA
"2568","NwWYSYGHFyHQMmsXu0SiYA",NA
"2569","_glMJT-AR1vNt-eatEdyeA",NA
"2570","Dv0OHpQSL4hOGl2KAEVvlA",NA
"2571","vna49NPM-7B11tcFPTgnsg",NA
"2572","PQicuLOZ3uNJKn4PtayjlQ",NA
"2573","yxLVwItd1Wnhy6SeUUcNYA",NA
"2574","NwVj3tbEcR2F8fbrcOEV0Q",NA
"2575","UJb1PrUWDFfuzwUPc1pP4Q",NA
"2576","y4ETe3DkcIjjr_eyeg5U5g",NA
"2577","VZQPYoK6l_vo5jwYgabJdQ",NA
